param_name,baseline_value,perturbation_pct,forecast_year_lower,forecast_year_upper,jacobian_kappa
tau_0,8.82e3,-20,2025.1,2037.8,3247
tau_0,8.82e3,-10,2026.9,2035.6,3247
tau_0,8.82e3,0,2028.4,2034.4,3247
tau_0,8.82e3,10,2029.6,2033.5,3247
tau_0,8.82e3,20,2030.6,2032.8,3247
q,0.285,-20,2023.7,2040.3,5612
q,0.285,-10,2026.2,2036.8,5612
q,0.285,0,2028.4,2034.4,5612
q,0.285,10,2030.2,2032.9,5612
q,0.285,20,2031.5,2032.0,5612
H_baseline,6,0,2028.4,2034.4,1
joint_tau0_q,(baseline),0,2028.4,2034.4,8911
joint_tau0_q,(baseline),±10,2027.8,2035.0,8911
joint_tau0_q,(baseline),±20,2025.9,2037.2,8911
